0,0,0,0.00047348
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0.00047348
0,0,0,0
0,0,0,0
5.531e-05,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.0061127,0.0072797,0.0069836,0.00069924
0.0049114,0.009752,0.0027734,5.4233e-213
0.0021303,8.0993e-05,0,0
0.0187,0.012878,7.3585e-15,0.0046891
0.005848,0,4.1513e-10,0.0034409
0,0,0,0
0,0,0,0
0,0,0,0
0.009148,0.0082694,0.0092798,0
0.028831,0.032014,0.038499,0.032317
0.05213,0.052645,0.0092349,0.024998
0.12841,0.13535,0.088925,0.043353
0.060061,0.029597,0.018094,0.014203
0.022073,0.015145,0.010401,0
0.00074072,0.00075242,0.00023852,0
0,0,0,0
0,0,0,0
0,0.00050181,0,0
0.024928,0.030601,0.029782,0.027378
0.035817,0.034981,0.017953,0.034935
0.021252,0.014269,0.085775,0.40458
0.089915,0.11591,0.17024,0.15932
0.055928,0.1015,0.065087,0.025688
0.032429,0.021212,0.00038548,0.013291
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0.00021498,0
0.001567,0.0034559,0.0037364,0.0012444
0.015118,0.022587,0.022376,0.0068865
0.0080855,0.0080074,0.01423,0.0055643
0.033471,0.044576,0.033104,0.046578
0.09281,0.10462,0.077512,0.066764
0.026042,0.015754,0.0033897,9.7522e-05
0.0012409,0.00076348,0,0
0,0,0,0
5.531e-05,0,0,0
0.00027655,0,9.8813e-324,0
0.015991,0.010459,0.033237,0.010299
0.025747,0.024194,0.020459,0.024001
0.025922,0.023437,0.035616,0.00026018
0.027037,0.024456,0.027293,3.8752e-174
0.02411,0.027523,0.069128,2.3619e-104
0.02836,0.018719,0.022444,0.0028116
0.0083994,0.0053169,0.0039451,3.8117e-168
5.531e-05,0,0,0
0.012924,0.015402,0.0047561,0.004324
0.009542,0.0061069,0.0090326,0.011342
0.0043414,0.0015414,0.0032875,0
0.0016659,0.0014005,0.0039124,0.001093
0.0036256,0.003742,0.0074834,0.002495
0.00034471,0.0017294,0.0041768,0
0.0096501,5.939e-08,0.0056201,0.012018
0.013053,0.0059425,0.0078275,0.0090273
0.003225,0.00011569,0,0
0,0,0,0
0,0,0,0
0,0.00028127,0.00062206,0.00020118
0.00029695,0,0.00080724,0.0004149
0,0,0,0
0,0,0,0
0,0,0,0
0.0005531,0,5.0296e-104,0
0.0070737,0.0071285,0.031922,0.0047362
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0.00021498,0
0,0,0,0
0,0,0,0
